ID	Number	Source	Microhabitat	Genotype	Treatment	C6-HSL	Soil	Duration
RemovePrimer_Final.EC_01	EC01	RZ_Golden_Promise_mock_Substrate_Two-week-old	RZ	Golden_Promise	mock	0 然	Substrate	Two-week-old
RemovePrimer_Final.EC_02	EC02	RZ_Golden_Promise_mock_Substrate_Two-week-old	RZ	Golden_Promise	mock	0 然	Substrate	Two-week-old
RemovePrimer_Final.EC_03	EC03	RZ_Golden_Promise_mock_Substrate_Two-week-old	RZ	Golden_Promise	mock	0 然	Substrate	Two-week-old
RemovePrimer_Final.EC_04	EC04	RZ_Golden_Promise_mock_Substrate_Two-week-old	RZ	Golden_Promise	mock	0 然	Substrate	Two-week-old
RemovePrimer_Final.EC_05	EC05	RZ_Golden_Promise_C6-HSL_Substrate_Two-week-old	RZ	Golden_Promise	C6-HSL	2 然	Substrate	Two-week-old
RemovePrimer_Final.EC_06	EC06	RZ_Golden_Promise_C6-HSL_Substrate_Two-week-old	RZ	Golden_Promise	C6-HSL	2 然	Substrate	Two-week-old
RemovePrimer_Final.EC_07	EC07	RZ_Golden_Promise_C6-HSL_Substrate_Two-week-old	RZ	Golden_Promise	C6-HSL	2 然	Substrate	Two-week-old
RemovePrimer_Final.EC_08	EC08	RZ_Golden_Promise_C6-HSL_Substrate_Two-week-old	RZ	Golden_Promise	C6-HSL	2 然	Substrate	Two-week-old
RemovePrimer_Final.EC_09	EC09	RZ_BCC436_mock_Substrate_Two-week-old	RZ	BCC436	mock	0 然	Substrate	Two-week-old
RemovePrimer_Final.EC_10	EC10	RZ_BCC436_mock_Substrate_Two-week-old	RZ	BCC436	mock	0 然	Substrate	Two-week-old
RemovePrimer_Final.EC_11	EC11	RZ_BCC436_mock_Substrate_Two-week-old	RZ	BCC436	mock	0 然	Substrate	Two-week-old
RemovePrimer_Final.EC_12	EC12	RZ_BCC436_mock_Substrate_Two-week-old	RZ	BCC436	mock	0 然	Substrate	Two-week-old
RemovePrimer_Final.EC_13	EC13	RZ_BCC436_C6-HSL_Substrate_Two-week-old	RZ	BCC436	C6-HSL	2 然	Substrate	Two-week-old
RemovePrimer_Final.EC_14	EC14	RZ_BCC436_C6-HSL_Substrate_Two-week-old	RZ	BCC436	C6-HSL	2 然	Substrate	Two-week-old
RemovePrimer_Final.EC_15	EC15	RZ_BCC436_C6-HSL_Substrate_Two-week-old	RZ	BCC436	C6-HSL	2 然	Substrate	Two-week-old
RemovePrimer_Final.EC_16	EC16	RZ_BCC436_C6-HSL_Substrate_Two-week-old	RZ	BCC436	C6-HSL	2 然	Substrate	Two-week-old
RemovePrimer_Final.EC_17	EC17	Bulk_none_none_Substrate_Two-week-old	Bulk	none	none	0 然	Substrate	Two-week-old
RemovePrimer_Final.EC_18	EC18	Bulk_none_none_Substrate_Two-week-old	Bulk	none	none	0 然	Substrate	Two-week-old
RemovePrimer_Final.EC_19	EC19	Bulk_none_none_Substrate_Two-week-old	Bulk	none	none	0 然	Substrate	Two-week-old
RemovePrimer_Final.EC_20	EC20	Bulk_none_none_Substrate_Two-week-old	Bulk	none	none	0 然	Substrate	Two-week-old
RemovePrimer_Final.EC_21	EC21	RZ_Golden_Promise_mock_Substrate_16-week-old	RZ	Golden_Promise	mock	0 然	Substrate	16-week-old
RemovePrimer_Final.EC_22	EC22	RZ_Golden_Promise_mock_Substrate_16-week-old	RZ	Golden_Promise	mock	0 然	Substrate	16-week-old
RemovePrimer_Final.EC_23	EC23	RZ_Golden_Promise_mock_Substrate_16-week-old	RZ	Golden_Promise	mock	0 然	Substrate	16-week-old
RemovePrimer_Final.EC_24	EC24	RZ_Golden_Promise_mock_Substrate_16-week-old	RZ	Golden_Promise	mock	0 然	Substrate	16-week-old
RemovePrimer_Final.EC_25	EC25	RZ_Golden_Promise_C6-HSL_Substrate_16-week-old	RZ	Golden_Promise	C6-HSL	2 然+2 然	Substrate	16-week-old
RemovePrimer_Final.EC_26	EC26	RZ_Golden_Promise_C6-HSL_Substrate_16-week-old	RZ	Golden_Promise	C6-HSL	2 然+2 然	Substrate	16-week-old
RemovePrimer_Final.EC_27	EC27	RZ_Golden_Promise_C6-HSL_Substrate_16-week-old	RZ	Golden_Promise	C6-HSL	2 然+2 然	Substrate	16-week-old
RemovePrimer_Final.EC_28	EC28	RZ_Golden_Promise_C6-HSL_Substrate_16-week-old	RZ	Golden_Promise	C6-HSL	2 然+2 然	Substrate	16-week-old
RemovePrimer_Final.EC_29	EC29	RZ_BCC436_mock_Substrate_16-week-old	RZ	BCC436	mock	0 然	Substrate	16-week-old
RemovePrimer_Final.EC_30	EC30	RZ_BCC436_mock_Substrate_16-week-old	RZ	BCC436	mock	0 然	Substrate	16-week-old
RemovePrimer_Final.EC_31	EC31	RZ_BCC436_mock_Substrate_16-week-old	RZ	BCC436	mock	0 然	Substrate	16-week-old
RemovePrimer_Final.EC_32	EC32	RZ_BCC436_mock_Substrate_16-week-old	RZ	BCC436	mock	0 然	Substrate	16-week-old
RemovePrimer_Final.EC_33	EC33	RZ_BCC436_C6-HSL_Substrate_16-week-old	RZ	BCC436	C6-HSL	2 然+2 然	Substrate	16-week-old
RemovePrimer_Final.EC_34	EC34	RZ_BCC436_C6-HSL_Substrate_16-week-old	RZ	BCC436	C6-HSL	2 然+2 然	Substrate	16-week-old
RemovePrimer_Final.EC_35	EC35	RZ_BCC436_C6-HSL_Substrate_16-week-old	RZ	BCC436	C6-HSL	2 然+2 然	Substrate	16-week-old
RemovePrimer_Final.EC_36	EC36	RZ_BCC436_C6-HSL_Substrate_16-week-old	RZ	BCC436	C6-HSL	2 然+2 然	Substrate	16-week-old
RemovePrimer_Final.EC_37	EC37	Bulk_none_none_Substrate_16-week-old	Bulk	none	none	0 然	Substrate	16-week-old
RemovePrimer_Final.EC_38	EC38	Bulk_none_none_Substrate_16-week-old	Bulk	none	none	0 然	Substrate	16-week-old
RemovePrimer_Final.EC_39	EC39	Bulk_none_none_Substrate_16-week-old	Bulk	none	none	0 然	Substrate	16-week-old
RemovePrimer_Final.EC_40	EC40	Bulk_none_none_Substrate_16-week-old	Bulk	none	none	0 然	Substrate	16-week-old
RemovePrimer_Final.EC_41	EC41	RZ_Golden_Promise_mock_Field soil_Three-week-old	RZ	Golden_Promise	mock	0 然	Field soil	Three-week-old
RemovePrimer_Final.EC_42	EC42	RZ_Golden_Promise_mock_Field soil_Three-week-old	RZ	Golden_Promise	mock	0 然	Field soil	Three-week-old
RemovePrimer_Final.EC_43	EC43	RZ_Golden_Promise_mock_Field soil_Three-week-old	RZ	Golden_Promise	mock	0 然	Field soil	Three-week-old
RemovePrimer_Final.EC_44	EC44	RZ_Golden_Promise_mock_Field soil_Three-week-old	RZ	Golden_Promise	mock	0 然	Field soil	Three-week-old
RemovePrimer_Final.EC_45	EC45	RZ_Golden_Promise_C6-HSL_Field soil_Three-week-old	RZ	Golden_Promise	C6-HSL	2 然	Field soil	Three-week-old
RemovePrimer_Final.EC_46	EC46	RZ_Golden_Promise_C6-HSL_Field soil_Three-week-old	RZ	Golden_Promise	C6-HSL	2 然	Field soil	Three-week-old
RemovePrimer_Final.EC_47	EC47	RZ_Golden_Promise_C6-HSL_Field soil_Three-week-old	RZ	Golden_Promise	C6-HSL	2 然	Field soil	Three-week-old
RemovePrimer_Final.EC_48	EC48	RZ_Golden_Promise_C6-HSL_Field soil_Three-week-old	RZ	Golden_Promise	C6-HSL	2 然	Field soil	Three-week-old
RemovePrimer_Final.EC_49	EC49	RZ_BCC436_mock_Field soil_Three-week-old	RZ	BCC436	mock	0 然	Field soil	Three-week-old
RemovePrimer_Final.EC_50	EC50	RZ_BCC436_mock_Field soil_Three-week-old	RZ	BCC436	mock	0 然	Field soil	Three-week-old
RemovePrimer_Final.EC_51	EC51	RZ_BCC436_mock_Field soil_Three-week-old	RZ	BCC436	mock	0 然	Field soil	Three-week-old
RemovePrimer_Final.EC_52	EC52	RZ_BCC436_mock_Field soil_Three-week-old	RZ	BCC436	mock	0 然	Field soil	Three-week-old
RemovePrimer_Final.EC_53	EC53	RZ_BCC436_C6-HSL_Field soil_Three-week-old	RZ	BCC436	C6-HSL	2 然	Field soil	Three-week-old
RemovePrimer_Final.EC_54	EC54	RZ_BCC436_C6-HSL_Field soil_Three-week-old	RZ	BCC436	C6-HSL	2 然	Field soil	Three-week-old
RemovePrimer_Final.EC_55	EC55	RZ_BCC436_C6-HSL_Field soil_Three-week-old	RZ	BCC436	C6-HSL	2 然	Field soil	Three-week-old
RemovePrimer_Final.EC_56	EC56	RZ_BCC436_C6-HSL_Field soil_Three-week-old	RZ	BCC436	C6-HSL	2 然	Field soil	Three-week-old
RemovePrimer_Final.EC_57	EC57	Bulk_none_none_Field soil_Three-week-old	Bulk	none	none	0 然	Field soil	Three-week-old
RemovePrimer_Final.EC_58	EC58	Bulk_none_none_Field soil_Three-week-old	Bulk	none	none	0 然	Field soil	Three-week-old
RemovePrimer_Final.EC_59	EC59	Bulk_none_none_Field soil_Three-week-old	Bulk	none	none	0 然	Field soil	Three-week-old
RemovePrimer_Final.EC_60	EC60	Bulk_none_none_Field soil_Three-week-old	Bulk	none	none	0 然	Field soil	Three-week-old
RemovePrimer_Final.EC_61	EC61	RZ_Golden_Promise_mock_Field soil_18-week-old	RZ	Golden_Promise	mock	0 然	Field soil	18-week-old
RemovePrimer_Final.EC_62	EC62	RZ_Golden_Promise_mock_Field soil_18-week-old	RZ	Golden_Promise	mock	0 然	Field soil	18-week-old
RemovePrimer_Final.EC_63	EC63	RZ_Golden_Promise_mock_Field soil_18-week-old	RZ	Golden_Promise	mock	0 然	Field soil	18-week-old
RemovePrimer_Final.EC_64	EC64	RZ_Golden_Promise_mock_Field soil_18-week-old	RZ	Golden_Promise	mock	0 然	Field soil	18-week-old
RemovePrimer_Final.EC_65	EC65	RZ_Golden_Promise_C6-HSL_Field soil_18-week-old	RZ	Golden_Promise	C6-HSL	2 然+2 然	Field soil	18-week-old
RemovePrimer_Final.EC_66	EC66	RZ_Golden_Promise_C6-HSL_Field soil_18-week-old	RZ	Golden_Promise	C6-HSL	2 然+2 然	Field soil	18-week-old
RemovePrimer_Final.EC_67	EC67	RZ_Golden_Promise_C6-HSL_Field soil_18-week-old	RZ	Golden_Promise	C6-HSL	2 然+2 然	Field soil	18-week-old
RemovePrimer_Final.EC_68	EC68	RZ_Golden_Promise_C6-HSL_Field soil_18-week-old	RZ	Golden_Promise	C6-HSL	2 然+2 然	Field soil	18-week-old
RemovePrimer_Final.EC_69	EC69	RZ_BCC436_mock_Field soil_18-week-old	RZ	BCC436	mock	0 然	Field soil	18-week-old
RemovePrimer_Final.EC_70	EC70	RZ_BCC436_mock_Field soil_18-week-old	RZ	BCC436	mock	0 然	Field soil	18-week-old
RemovePrimer_Final.EC_71	EC71	RZ_BCC436_mock_Field soil_18-week-old	RZ	BCC436	mock	0 然	Field soil	18-week-old
